od_id;od_do_code;od_tbltype;od_codeobj;od_creadat;od_majdate;od_majsrc;od_abddate;od_abdsrc
239;DO000000000021;CD;CD001800331342;08/06/2015;;;;
240;DO000000000021;CD;CD001800331343;08/06/2015;;;;
241;DO000000000021;CD;CD001800331344;08/06/2015;;;;
242;DO000000000021;CD;CD001800335691;08/06/2015;;;;
243;DO000000000021;CD;CD001800335692;08/06/2015;;;;
244;DO000000000021;CD;CD001800335693;08/06/2015;;;;
245;DO000000000021;CD;CD001800335694;08/06/2015;;;;
246;DO000000000021;CD;CD001800335695;08/06/2015;;;;
247;DO000000000021;CD;CD001800335701;08/06/2015;;;;
248;DO000000000021;CD;CD001800335702;08/06/2015;;;;
249;DO000000000021;CD;CD001800335703;08/06/2015;;;;
250;DO000000000021;CD;CD001800335704;08/06/2015;;;;
251;DO000000000021;CD;CD001800335705;08/06/2015;;;;
252;DO000000000021;CD;CD001800335706;08/06/2015;;;;
253;DO000000000021;CD;CD001800335707;08/06/2015;;;;
254;DO000000000021;CD;CD201800331341;08/06/2015;;;;
255;DO000000000021;CD;CD201800331342;08/06/2015;;;;
256;DO000000000021;CD;CD201800331343;08/06/2015;;;;
257;DO000000000021;CD;CD201800331344;08/06/2015;;;;
258;DO000000000027;CD;CD001800331341;08/06/2015;;;;
259;DO000000000027;CD;CD001800331342;08/06/2015;;;;
260;DO000000000027;CD;CD001800331343;08/06/2015;;;;
261;DO000000000027;CD;CD001800331344;08/06/2015;;;;
262;DO000000000027;CD;CD001800335691;08/06/2015;;;;
263;DO000000000027;CD;CD001800335692;08/06/2015;;;;
264;DO000000000027;CD;CD001800335693;08/06/2015;;;;
265;DO000000000027;CD;CD001800335694;08/06/2015;;;;
266;DO000000000027;CD;CD001800335695;08/06/2015;;;;
267;DO000000000027;CD;CD001800335701;08/06/2015;;;;
268;DO000000000027;CD;CD001800335702;08/06/2015;;;;
269;DO000000000027;CD;CD001800335703;08/06/2015;;;;
270;DO000000000027;CD;CD001800335704;08/06/2015;;;;
271;DO000000000027;CD;CD001800335705;08/06/2015;;;;
272;DO000000000027;CD;CD001800335706;08/06/2015;;;;
273;DO000000000027;CD;CD001800335707;08/06/2015;;;;
274;DO000000000027;CD;CD201800331341;08/06/2015;;;;
275;DO000000000027;CD;CD201800331342;08/06/2015;;;;
276;DO000000000027;CD;CD201800331343;08/06/2015;;;;
277;DO000000000027;CD;CD201800331344;08/06/2015;;;;
278;DO000000000038;CD;CD001800331341;08/06/2015;;;;
279;DO000000000038;CD;CD001800331342;08/06/2015;;;;
280;DO000000000038;CD;CD001800331343;08/06/2015;;;;
281;DO000000000038;CD;CD001800331344;08/06/2015;;;;
282;DO000000000038;CD;CD001800335691;08/06/2015;;;;
283;DO000000000038;CD;CD001800335692;08/06/2015;;;;
284;DO000000000038;CD;CD001800335693;08/06/2015;;;;
285;DO000000000038;CD;CD001800335694;08/06/2015;;;;
286;DO000000000038;CD;CD001800335695;08/06/2015;;;;
287;DO000000000038;CD;CD001800335701;08/06/2015;;;;
288;DO000000000038;CD;CD001800335702;08/06/2015;;;;
289;DO000000000038;CD;CD001800335703;08/06/2015;;;;
290;DO000000000038;CD;CD001800335704;08/06/2015;;;;
291;DO000000000038;CD;CD001800335705;08/06/2015;;;;
292;DO000000000038;CD;CD001800335706;08/06/2015;;;;
293;DO000000000038;CD;CD001800335707;08/06/2015;;;;
294;DO000000000038;CD;CD201800331341;08/06/2015;;;;
295;DO000000000038;CD;CD201800331342;08/06/2015;;;;
296;DO000000000038;CD;CD201800331343;08/06/2015;;;;
297;DO000000000038;CD;CD201800331344;08/06/2015;;;;
298;DO000000000040;CD;CD001800331341;08/06/2015;;;;
299;DO000000000040;CD;CD001800331342;08/06/2015;;;;
300;DO000000000040;CD;CD001800331343;08/06/2015;;;;
301;DO000000000040;CD;CD001800331344;08/06/2015;;;;
302;DO000000000040;CD;CD001800335691;08/06/2015;;;;
303;DO000000000040;CD;CD001800335692;08/06/2015;;;;
304;DO000000000040;CD;CD001800335693;08/06/2015;;;;
305;DO000000000040;CD;CD001800335694;08/06/2015;;;;
306;DO000000000040;CD;CD001800335695;08/06/2015;;;;
307;DO000000000040;CD;CD001800335701;08/06/2015;;;;
308;DO000000000040;CD;CD001800335702;08/06/2015;;;;
309;DO000000000040;CD;CD001800335703;08/06/2015;;;;
310;DO000000000040;CD;CD001800335704;08/06/2015;;;;
311;DO000000000040;CD;CD001800335705;08/06/2015;;;;
312;DO000000000040;CD;CD001800335706;08/06/2015;;;;
313;DO000000000040;CD;CD001800335707;08/06/2015;;;;
314;DO000000000040;CD;CD201800331341;08/06/2015;;;;
315;DO000000000040;CD;CD201800331342;08/06/2015;;;;
316;DO000000000040;CD;CD201800331343;08/06/2015;;;;
317;DO000000000040;CD;CD201800331344;08/06/2015;;;;
318;DO000000000041;CD;CD001800331341;08/06/2015;;;;
319;DO000000000041;CD;CD001800331342;08/06/2015;;;;
320;DO000000000041;CD;CD001800331343;08/06/2015;;;;
321;DO000000000041;CD;CD001800331344;08/06/2015;;;;
322;DO000000000041;CD;CD001800335691;08/06/2015;;;;
323;DO000000000041;CD;CD001800335692;08/06/2015;;;;
324;DO000000000041;CD;CD001800335693;08/06/2015;;;;
325;DO000000000041;CD;CD001800335694;08/06/2015;;;;
326;DO000000000041;CD;CD001800335695;08/06/2015;;;;
327;DO000000000041;CD;CD001800335701;08/06/2015;;;;
328;DO000000000041;CD;CD001800335702;08/06/2015;;;;
329;DO000000000041;CD;CD001800335703;08/06/2015;;;;
330;DO000000000041;CD;CD001800335704;08/06/2015;;;;
331;DO000000000041;CD;CD001800335705;08/06/2015;;;;
332;DO000000000041;CD;CD001800335706;08/06/2015;;;;
333;DO000000000041;CD;CD001800335707;08/06/2015;;;;
334;DO000000000041;CD;CD201800331341;08/06/2015;;;;
335;DO000000000041;CD;CD201800331342;08/06/2015;;;;
336;DO000000000041;CD;CD201800331343;08/06/2015;;;;
337;DO000000000041;CD;CD201800331344;08/06/2015;;;;
338;DO000000000025;CD;CD001800325981;08/06/2015;;;;
339;DO000000000025;CD;CD001800325991;08/06/2015;;;;
340;DO000000000025;CD;CD001800326021;08/06/2015;;;;
341;DO000000000025;CD;CD001800329561;08/06/2015;;;;
342;DO000000000017;CD;CD001800325981;08/06/2015;;;;
343;DO000000000017;CD;CD001800325991;08/06/2015;;;;
344;DO000000000017;CD;CD001800326021;08/06/2015;;;;
345;DO000000000017;CD;CD001800329561;08/06/2015;;;;
346;DO000000000039;CD;CD001800325981;08/06/2015;;;;
347;DO000000000039;CD;CD001800325991;08/06/2015;;;;
348;DO000000000039;CD;CD001800326021;08/06/2015;;;;
349;DO000000000039;CD;CD001800329561;08/06/2015;;;;
350;DO000000000018;CD;CD001800329581;08/06/2015;;;;
351;DO000000000026;CD;CD001800329581;08/06/2015;;;;
352;DO000000000005;ZD;ZD000180030001;08/06/2015;;;;
353;DO000000000005;ND;ND000180030001;08/06/2015;;;;
354;DO000000000005;ND;ND000180030064;08/06/2015;;;;
355;DO000000000005;ND;ND000180030065;08/06/2015;;;;
356;DO000000000005;ND;ND000180030072;08/06/2015;;;;
357;DO000000000005;ND;ND000180030091;08/06/2015;;;;
358;DO000000000005;ND;ND000180030502;08/06/2015;;;;
359;DO000000000005;ND;ND000180030503;08/06/2015;;;;
